time;error_msg
09:55:34;system_start
10:17:53;buffer fejl igen(set i tidligere log)
10:22:07;dårlig brik kørte forbi(side af bånd)
10:28:07;Brick stuck i sliske(sidder fast mellem sliske og stang)
10:30:16;system_stop
10:30:22;Brick stuck i sliske(sidder mellem sliske og ben)
10:30:35;PLC STOP
10:31:38;Buffer cleaned
10:32:58;system_start
10:51:34;system_stop
10:51:47;Brik ligger skævt på buffer
10:52:11;system_start
10:55:27;en brick hoppede uaf box
10:57:42;evt. camera fejl
10:57:50;PLC STOP
11:00:32;system_stop
11:00:50;Tjek PLC stop(Mathias glemte at trykke på stop knappen)
11:00:54;system_start
11:02:07;ordr 134 er skrevet som 133134
11:04:01;system_stop
11:04:07;PLC STOP
11:05:51;system_start
11:06:30;side odrenr er igen concat.
11:08:14;system_stop
11:08:44;
11:16:38;system_start
11:19:04;brick kører forbi
11:20:39;system_stop
11:21:10;system_start
11:27:33;system_stop
11:28:04;maintenance tool
11:29:07;system_start
11:30:31;missed part
11:31:23;system_stop
11:31:35;PLC STOP
11:33:06;system_start
11:34:27;system_stop
11:35:21;PLC STOP
11:36:09;order-box removed
11:38:22;system_start
11:38:45;god i forkert buffer
11:39:21;forkert orderid på tidligere order
11:41:57;troede god var dårligt
11:43:07;system_stop
11:43:13;feeder block
11:43:15;system_start
11:44:03;måske pga. buffer fuld
11:55:25;sidste fejl skyldes systematisk fejl fra buffer
11:55:28;system_stop
11:55:51;PLC STOP
11:56:08;buffer-box enabled igen
11:57:15;threshold sat op til 4ms fra 2ms
11:58:36;system_start
12:04:21;dårlig i god buffer
12:06:51;sidste fejl skyldes buffer fejl fra tidligere
12:11:20;system_stop
12:11:24;PLC STOP
12:11:50;ændrer idle task til cycle1
12:12:57;task class idle time 1ms before 5ms
12:14:32;system_start
12:15:19;Forrige order
12:17:10;system_stop
12:17:25;system_start
12:17:34;Change in buffer position
12:29:31;røg forbi buffer
12:34:44;system_stop
12:34:53;PLC STOP
12:37:04;system_start
12:42:08;2 gode kørt forbi
12:42:24;correction: 1 dårlig
12:45:32;sidste er omvendt
12:54:48;sidste var buffer fejl
12:56:29;system_stop
13:00:29;PLC: statemachine stop
13:00:50;system_start
13:01:34;orderid concat.
13:03:55;system_stop
13:06:58;PLC: statemachine fejl(igen som sidste wrong orderid)
13:07:07;system_start
13:11:30;system_stop
13:12:00;arm dykker ned i brick
13:12:06;calibration started
13:34:01;Calibration done
13:35:11;system_start
13:35:15;system_stop
13:35:41;Start/stop var fejl  just ignore
13:35:57;system_start
13:37:36;system_stop
13:37:57;Bricks på buffer ligger for tæt.
13:37:58;system_start
13:50:34;system_stop
13:50:55;Maintenance(tape på buffer)
14:03:09;system_start
14:04:06;system_stop
14:04:22;Maintenance(Tape på buffer)
14:10:41;system_start
14:15:35;system_stop
14:15:39;PLC STOP
14:17:32;system_start
14:22:23;brick ud på gulvet
14:27:38;PLC STOP
14:27:42;system_stop
14:29:39;system_start
14:31:33;system_stop
14:31:45;Brick sidder mellem arm og sliske
14:36:08;system_start
14:40:44;Forbi gribber
14:41:34;Correction  sidste manglede bad
14:41:48;system_stop
14:41:55;PLC STOP
14:43:36;system_start
14:45:41;dårlig ved siden af kassen
14:48:24;order 437 skulle have været en for meget
14:49:14;system_stop
14:49:20;PLC STOP
14:51:17;system_start
14:56:12;system_stop
14:56:20;PLC STOP
14:58:01;system_start
15:01:24;system_stop
15:01:29;PLC STOP
15:05:19;system_start
15:12:50;system_stop
15:12:56;PLC STOP
15:14:33;system_start
15:19:40;God kørte forbi
15:21:04;Misset god
15:22:01;god kørte forbi
15:45:25;system_stop
15:45:30;PLC STOP
15:47:16;system_start
15:47:41;system_stop
15:47:46;Feeder error
15:47:51;system_start
15:48:12;system_stop
15:48:19;Feeder error
15:48:22;system_start
15:50:20;God mistaken for bad
15:52:40;miss classification
15:54:02;system_stop
15:54:17;Brick missplaced in buffer
15:54:19;system_start
16:00:47;system_stop
16:00:55;feeder stop
16:00:57;system_start
16:02:33;system_stop
16:03:03;PLC STOP
16:04:41;system_start
16:07:12;system_stop
16:07:16;PLC STOP
16:08:57;system_start
16:10:54;system_stop
16:11:56;system_start
16:13:20;system_stop
16:13:30;PLC STOP
16:14:49;system_start
16:16:42;system_stop
16:16:46;PLC STOP
16:18:31;system_start
16:19:19;system_stop
16:19:24;PLC STOP
16:21:18;system_start
16:23:26;system_stop
16:23:48;Manuelt fjerner brik fra buffer pga. flip
16:23:52;system_start
16:24:30;system_stop
16:24:34;PLC STOP
16:31:00;system_start
16:37:30;system_stop
16:37:54;Brick stuck in buffer(tape issue)
16:42:14;system_start
16:43:50;system_stop
16:44:10;PLC STOP
16:46:22;system_start
16:53:22;system_stop
16:53:29;system_start
16:53:49;Feeder stuck
17:06:30;God fejl klassificeret
17:06:49;system_stop
17:07:16;Retter bricks i buffer
17:07:34;system_start
17:12:03;Brick gik forbi gripper
17:14:13;1 miss clasificeret
17:15:20;system_stop
17:15:51;brick forkert i buffer
17:16:04;system_start
17:22:56;system_stop
17:23:00;feederfejl
17:23:16;system_start
17:28:48;box rotate error
17:32:08;system_stop
17:32:16;Bufferfejl
17:32:18;system_start
17:33:26;ret 2 forrige
17:36:51;system_stop
17:36:57;ligger dårligt på buffer
17:37:12;system_start
17:38:36;dårlig røg forbi box
17:51:48;system_stop
17:52:03;ligger dårligt på buffer
17:52:08;system_start
17:55:15;system_stop
17:55:29;Retter buffer
17:55:30;system_start
17:56:22;system_stop
17:56:56;ligger forkert på buffer
17:57:00;system_start
17:57:05;system_stop
17:57:05;Finish test
