time;error_msg
09:55:34;system_start
10:17:53;brick forkert i buffer
10:22:07;Brick forbi gripper
10:30:16;PLC STOP
10:51:34;brick forkert i buffer
10:57:42;misclasification
10:57:50;PLC STOP
11:04:07;PLC STOP
11:19:04;Brick forbi gripper
11:27:33;major - maintenance
11:30:31;misclassification
11:31:23;PLC STOP
11:34:27;PLC STOP
11:38:45;brick forkert i buffer
11:41:57;misclassification
11:43:07;feederfejl
11:55:28;major - maintenance
11:55:28;PLC STOP
12:04:21;brick forkert i buffer
12:11:20;PLC STOP
12:17:34;brick forkert i buffer
12:29:31;misclassification
12:34:44;PLC STOP
12:42:08;brick forkert i buffer
12:34:44;PLC STOP
12:34:44;PLC STOP
13:11:30;major - maintenance
13:15:23;PLC STOP
13:37:36;brick forkert i buffer
13:50:34;maintenance
13:53:08;PLC STOP
14:04:06;maintenance
14:15:35;PLC STOP
14:27:38;PLC STOP
14:40:44;Brick forbi gripper
14:41:48;PLC STOP
14:49:14;PLC STOP
14:56:12;PLC STOP
15:01:24;PLC STOP
15:12:50;PLC STOP
15:19:40;misclassification
15:21:04;misclassification
15:22:01;misclassification
15:45:25;PLC STOP
15:47:41;feederfejl
15:48:12;feederfejl
15:50:20;misclassification
15:52:40;misclassification
15:54:02;brick forkert i buffer
16:00:47;feederfejl
16:02:33;PLC STOP
16:07:12;PLC STOP
16:13:20;PLC STOP
16:16:42;PLC STOP
16:19:19;PLC STOP
16:23:26;brick forkert i buffer
16:24:30;PLC STOP
16:37:30;brick forkert i buffer
16:43:50;PLC STOP
16:53:49;feederfejl
17:06:30;misclassification
17:06:49;brick forkert i buffer
17:12:03;Brick forbi gripper
17:14:13;misclassification
17:15:20;brick forkert i buffer
17:22:56;feederfejl
17:32:16;brick forkert i buffer
17:36:51;brick forkert i buffer
17:51:48;brick forkert i buffer
17:56:22;brick forkert i buffer
